Tọa độ các hình tròn đã phát hiện:
x, y, radius, color
377, 123, 30, white
126, 310, 22, white
189, 274, 32, white
127, 187, 28, white
446, 407, 32, white
158, 100, 32, white
377, 369, 32, white
255, 435, 32, white
250, 372, 22, white
324, 402, 32, white
378, 336, 32, white
188, 316, 32, white
282, 510, 31, white
326, 92, 32, white
351, 459, 32, white
451, 340, 32, white
33, 217, 32, white
84, 275, 32, white
97, 475, 32, white
184, 399, 32, white
211, 98, 32, white
332, 213, 32, white
369, 509, 32, white
197, 214, 32, white
226, 48, 32, white
248, 293, 32, white
257, 117, 32, white
301, 395, 26, white
377, 180, 32, white
402, 464, 32, white
425, 342, 32, white
466, 279, 30, white
94, 517, 32, white
160, 215, 31, white
398, 522, 31, white
403, 423, 32, white
220, 510, 31, white
65, 123, 30, white
359, 275, 31, white
244, 186, 27, white
152, 509, 32, white
282, 320, 32, white
372, 34, 32, white
422, 289, 32, white
326, 270, 30, white
35, 272, 31, white
175, 469, 29, white
174, 158, 30, white
323, 34, 32, white
387, 88, 32, white
78, 352, 32, white
411, 98, 32, white
341, 509, 32, white
428, 522, 32, white
115, 93, 31, white
376, 403, 28, white
300, 40, 29, white
330, 458, 32, white
53, 524, 32, white
233, 229, 32, white
281, 76, 32, white
287, 465, 28, white
422, 217, 31, white
130, 277, 30, white
383, 280, 31, white
220, 340, 30, white
63, 435, 22, white
325, 158, 31, white
423, 160, 26, white
108, 145, 30, white
466, 49, 30, white
98, 399, 31, white
35, 37, 28, white
59, 224, 30, white
342, 331, 24, white
137, 85, 28, white
170, 34, 31, white
297, 277, 31, white
353, 86, 25, white
230, 76, 30, white
238, 266, 28, white
451, 92, 29, white
47, 163, 30, white
40, 96, 30, white
460, 458, 25, white
96, 244, 30, white
377, 218, 31, white
153, 470, 26, white
95, 34, 27, white
249, 559, 27, white
302, 346, 30, white
448, 220, 30, white
201, 34, 29, white
499, 186, 28, white
286, 223, 30, white
297, 159, 30, white
50, 351, 24, white
138, 40, 30, white
2, 374, 28, white
374, 559, 27, white
151, 342, 24, white
410, 34, 28, white
65, 1, 28, white
90, 221, 27, white
143, 148, 22, white
161, 268, 27, white
65, 41, 29, white
80, 81, 29, white
475, 339, 21, white
33, 480, 26, white
246, 527, 21, white
448, 511, 22, white
250, 34, 29, white
372, 1, 30, white
127, 557, 25, white
136, 394, 28, white
281, 31, 24, white
499, 126, 27, white
349, 43, 18, white
312, 559, 28, white
213, 261, 25, white
498, 372, 28, white
439, 4, 27, white
220, 476, 29, white
271, 274, 29, white
473, 88, 23, white
206, 159, 22, white
480, 512, 15, white
312, 1, 32, white
438, 557, 23, white
187, 557, 24, white
459, 110, 26, white
344, 227, 28, white
4, 183, 19, white
125, 478, 15, white
190, 3, 25, white
210, 400, 28, white
300, 91, 28, white
44, 297, 26, white
255, 7, 22, white
466, 154, 21, white
1, 1, 29, white
442, 152, 32, white
161, 137, 32, white
466, 441, 32, white
161, 233, 32, white
371, 284, 32, white
451, 352, 32, white
419, 100, 32, white
146, 524, 32, white
143, 482, 32, white
319, 217, 32, white
330, 335, 32, white
83, 531, 27, white
217, 152, 32, white
402, 400, 32, white
218, 76, 32, white
400, 332, 32, white
410, 271, 31, white
441, 464, 32, white
461, 524, 32, white
465, 328, 32, white
73, 221, 32, white
278, 52, 32, white
437, 38, 32, white
117, 226, 32, white
238, 96, 32, white
252, 146, 32, white
438, 217, 32, white
449, 300, 32, white
32, 520, 32, white
139, 456, 32, white
214, 226, 31, white
155, 361, 32, white
168, 505, 32, white
230, 324, 32, white
250, 333, 32, white
31, 283, 28, white
85, 157, 32, white
192, 508, 32, white
250, 221, 32, white
295, 459, 32, white
433, 332, 32, white
254, 90, 32, white
300, 524, 32, white
374, 151, 32, white
32, 339, 32, white
44, 391, 32, white
127, 148, 32, white
355, 406, 31, white
110, 48, 32, white
141, 387, 32, white
223, 287, 32, white
113, 507, 31, white
27, 456, 26, white
33, 102, 32, white
127, 341, 26, white
151, 258, 30, white
155, 407, 32, white
184, 350, 32, white
467, 228, 31, white
245, 405, 30, white
54, 82, 30, white
154, 200, 30, white
352, 166, 24, white
280, 485, 30, white
346, 216, 28, white
100, 349, 29, white
424, 421, 25, white
355, 324, 24, white
288, 423, 30, white
371, 461, 30, white
397, 285, 25, white
222, 425, 30, white
468, 467, 28, white
26, 153, 26, white
84, 54, 27, white
215, 345, 25, white
33, 426, 25, white
280, 139, 30, white
440, 383, 30, white
54, 293, 29, white
350, 262, 22, white
110, 265, 24, white
93, 498, 22, white
55, 319, 22, white
178, 531, 22, white
163, 75, 29, white
478, 295, 20, white
51, 236, 20, white
341, 291, 28, white
400, 225, 19, white
198, 176, 18, white
376, 255, 23, white
417, 451, 26, white
411, 76, 22, white
473, 411, 25, white
132, 72, 16, white
394, 54, 28, white
